qid|a1|Lde|a2|P31|a3|P31_2|a4|P625|a5|P571|a6|P528|a7|P972
QX1|Lde|'Aussichtsturm'|P31|Q1630622|P31|Q53628296|P625|@47.3697523941567/8.59925529180996|P571|+1970-00-00T00:00:00Z/9.|P528|510|P972|Q53629101
QX2|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3692926201664/8.5908112950803|P571|+1933-00-00T00:00:00Z/9.|P528|349|P972|Q53629101
QX3|Lde|'Biberlinterrasse'|P31|Q1630622|P31|Q53628296|P625|@47.3661299372347/8.57575392152858|P571|+1965-00-00T00:00:00Z/9.|P528|365|P972|Q53629101
QX4|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3709930393355/8.56484539015968|P571|+1910-00-00T00:00:00Z/9.|P528|338|P972|Q53629101
QX5|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3693266995217/8.56439032473308|P571|+1988-00-00T00:00:00Z/9.|P528|6069|P972|Q53629101
QX6|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3651974465571/8.56011028155428|P571|+1903-00-00T00:00:00Z/9.|P528|317|P972|Q53629101
QX7|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3651236155964/8.56221457421017|P571|+1907-00-00T00:00:00Z/9.|P528|329|P972|Q53629101
QX8|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3669866131836/8.56030253817775|P571|+1906-00-00T00:00:00Z/9.|P528|327|P972|Q53629101
QX9|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3684935039706/8.55695967858588|P571|+1903-00-00T00:00:00Z/9.|P528|315|P972|Q53629101
QX10|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3695437212538/8.555890549154629|P571|+1892-00-00T00:00:00Z/9.|P528|313|P972|Q53629101
QX11|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3713364706212/8.5581664009924|P571|+1978-00-00T00:00:00Z/9.|P528|6021|P972|Q53629101
QX12|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3684052285174/8.56028849636015|P571|+1948-00-00T00:00:00Z/9.|P528|360|P972|Q53629101
QX13|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3702048998224/8.56156189357482|P571|+1905-00-00T00:00:00Z/9.|P528|736|P972|Q53629101
QX14|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3672525478539/8.56577309125562|P571|+1928-00-00T00:00:00Z/9.|P528|343|P972|Q53629101
QX15|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3663654519733/8.56405262573323|P571|+1880-00-00T00:00:00Z/9.|P528|308|P972|Q53629101
QX16|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3655117750146/8.56474524317735|P571|+1986-00-00T00:00:00Z/9.|P528|6060|P972|Q53629101
QX17|Lde|'Klusplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3648122421368/8.56612333205432|P571|+1951-00-00T00:00:00Z/9.|P528|319|P972|Q53629101
QX18|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3705338317598/8.55384451674936|P571|+1905-00-00T00:00:00Z/9.|P528|322|P972|Q53629101
QX19|Lde||P31|Q1630622|P31|Q53628296|P625|@47.36926704695/8.55440458556796|P571|+1892-00-00T00:00:00Z/9.|P528|311|P972|Q53629101
QX20|Lde|'bei der Turnhalle'|P31|Q1630622|P31|Q53629707|P625|@47.3709461053163/8.5492227012504|P571|+1905-00-00T00:00:00Z/9.|P528|783|P972|Q53629101
QX21|Lde||P31|Q1630622|P31|Q53628296|P625|@47.368983951627/8.55018504135585|P571|+1905-00-00T00:00:00Z/9.|P528|40|P972|Q53629101
QX22|Lde|'Merkurplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3673976672045/8.55507953765959|P571|+1934-00-00T00:00:00Z/9.|P528|350|P972|Q53629101
QX23|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3668165225186/8.55856928782588|P571|+1941-00-00T00:00:00Z/9.|P528|359|P972|Q53629101
QX24|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3686772403458/8.56685041711246|P571|+1939-00-00T00:00:00Z/9.|P528|358|P972|Q53629101
QX25|Lde||P31|Q1630622|P31|Q53628618|P625|@47.3659131793555/8.552027350614189|P571|+nan-00-00T00:00:00Z/9.|P528|746|P972|Q53629101
QX26|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3644852759509/8.56977283756025|P571|+1913-00-00T00:00:00Z/9.|P528|339|P972|Q53629101
QX27|Lde|'Pumpwerk Sonnenberg'|P31|Q1630622|P31|Q53628618|P625|@47.369013480016/8.57077016975768|P571|+1981-00-00T00:00:00Z/9.|P528|1054|P972|Q53629101
QX28|Lde|'bei Hütte'|P31|Q1630622|P31|Q53628761|P625|@47.3659999972094/8.58099621299919|P571|+1964-00-00T00:00:00Z/9.|P528|712|P972|Q53629101
QX29|Lde|'bei Schifflände'|P31|Q1630622|P31|Q53628296|P625|@47.3655846220125/8.5452504059626|P571|+1939-00-00T00:00:00Z/9.|P528|61|P972|Q53629101
QX30|Lde|'grosser Brunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3667478853957/8.54549742122948|P571|+1938-00-00T00:00:00Z/9.|P528|59|P972|Q53629101
QX31|Lde|'Hechtplatzbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3685087005753/8.5446324322717|P571|+1506-00-00T00:00:00Z/9.|P528|2|P972|Q53629101
